,autor,edicao,link,resumo,tipo_trabalho,titulo
10,"
								IBGE DESPO
							","
				v. 1 n. 1/2 (1984)
			",https://rebep.org.br/revista/article/view/9,,"
									Resumo de Pesquisas Concluídas
						","
		Informe sobre o perfil estatísitco de crianças e mães no Brasil: situação de saúde em 1981
	"
11,"
								Suzana Cavenaghi
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/10,,"
									Editorial
						","
		Nota da Editora
	"
12,,,https://rebep.org.br/revista/article/view/11,,,
13,"
								Tiago Augusto da Cunha
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/12,"Não é de hoje que diversos estudos atribuem grande importância à redistribuição espacial da população provocada a partir de movimentos migratórios nos processos de expansão urbana. Assim, o objetivo principal deste trabalho é destacar e delimitar ainda mais o estudo desses fluxos e movimentos, a partir da noção de redes sociais. Noção já largamente utilizada desde o final da década de 1970 em estudos sobre migração internacional, mas ainda pouco apropriada nos trabalhos sobre movimentos migratórios internos, principalmente os de curta distância, tais como os intrametropolitanos. Para tanto, são utilizados os dados de uma pesquisa domiciliar, realizada em 2007, a fim de levantar e analisar informações mais específicas sobre tais redes, uma vez que estas inexistem nas usuais fontes secundárias de dados. Dessa forma, a Região Metropolitana da Baixada Santista, além de ser encarada como recorte espacial, é também tomada como objeto de estudo do projeto temático “Vulnerabilidade das Metrópoles Paulistas”. A pesquisa domiciliar realizada permite, ainda, análises intramunicipais e intraurbanas a partir das chamadas zonas de vulnerabilidade.","
									Artigos originais
						","
		Dinâmica intraurbana e redes sociais na Baixada Santista
	"
14,"
								José Marcos Pinto da Cunha
							",,,,,
15,"
								Alberto Augusto Eichman Jakob
							",,,,,
16,"
								Eduardo Marandola Jr.
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/13,"O crescimento e a expansão urbana trazem, em seu próprio processo constitutivo, riscos e perigos que se expressam pela falta de ajuste e aderência da produção do espaço urbano aos sistemas naturais. Esta situação se agrava quando o próprio sítio é naturalmente frágil, como é o caso das áreas costeiras do litoral norte de São Paulo. Esta região viveu uma de suas décadas de maior crescimento urbano e econômico, no contexto de grandes transformações ligadas à exploração de gás e petróleo, expansão do porto de São Sebastião, mudanças na atividade turística e consolidação da urbanização, especialmente em Caraguatatuba, sede e polo irradiador da maior parte das transformações. Divulgados os dados do Censo Demográfico de 2010, é momento propício para precisar a intensidade e as formas deste crescimento na última década, observado empiricamente, e suas relações com os riscos e vulnerabilidade. Se há uma relação entre urbanização e risco, a tendência é que as intensas mudanças recentes tenham aprofundado e criado novas áreas de risco, com a expansão urbana avançando sobre áreas naturalmente frágeis. O presente estudo procura identificar quem vive ou trabalha nestas áreas, concentrando-se nas novas áreas, a partir de uma compreensão do processo de urbanização no trópico úmido e suas consequências em termos de riscos e vulnerabilidade, com foco nos dados dos Censos Demográficos de 2000 e 2010.","
									Artigos originais
						","
		Crescimento urbano e áreas de risco  no litoral norte de São Paulo
	"
17,"
								Cesar Marques
							",,,,,
18,"
								Luiz Tiago de Paula
							",,,,,
19,"
								Letícia Braga Cassaneli
							",,,,,
20,"
								Everton Emanuel Campos de Lima
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/14,"Este trabalho propõe uma metodologia de classificação dos municípios brasileiros conforme a característica migratória, tendo como base as informações disponíveis no Censo Demográfico de 2000. Foram aplicadas análises multivariadas de redução e classificação de dados sobre um conjunto de variáveis selecionadas que descrevem a forma como os 5.507 municípios se articulam na rede migratória brasileira. Primeiramente, aplicou-se uma análise de componentes principais com a finalidade de reduzir o conjunto de variáveis originais em componentes não correlacionados entre si. Posteriormente, estes componentes foram empregados numa análise classificatória de cluster com o objetivo de estabelecer uma tipologia migratória das localidades em estudo. Os resultados mostraram que há importantes diferenciais na inserção dos municípios na rede migratória, na qual existe um grande número de lugares pouco conectados em contraste com um número pequeno de pontos que experimentam fortes conexões, e nos quais a população circula rapidamente. A classificação aponta para a existência de novas categorias de lugares, além das definições clássicas de atração e repulsão, como a rotatividade migratória.","
									Artigos originais
						","
		Da rotatividade migratória à baixa migração: uma análise dos padrões da  mobilidade populacional no  Brasil de 1995-2000
	"
21,"
								Fernando Gomes Braga
							",,,,,
22,"
								Fausto Brito
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/15,"O objetivo deste artigo é analisar a reação dos países desenvolvidos à imigração internacional através de uma legislação restritiva. Considera-se que a causa dessa reação não é exclusivamente conjuntural, derivada da crise contemporânea do capitalismo, mas reside na própria formação estrutural desses países receptores de imigrantes. O fundamento da análise política desenvolvida encontra-se na compreensão do paradoxo estabelecido entre a soberania de cada um dos países e a universalização dos direitos humanos, em especial dos imigrantes. Seguindo um itinerário semelhante ao de Hanna Arendt, a análise da politização das migrações internacionais acompanhará sua história a partir da segunda metade de século XIX até os dias atuais, enfatizando três grandes períodos: o anterior à Primeira Guerra Mundial, reconhecido como a era do imperialismo; o período entre as duas Grandes Guerras Mundiais; e o pós-guerra, contemplado, já no seu início, pela Declaração Universal dos Direitos Humanos de 1948.","
									Artigos originais
						","
		A politização das migrações internacionais: direitos humanos e soberania nacional
	"
23,"
								Ricardo Alexandrino Garcia
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/16,"Dada à ausência de dados sobre movimentos populacionais no espaço e no tempo, há muito os demógrafos e estudiosos de população lançam mão de técnicas indiretas para a mensuração de saldos migratórios. Os últimos censos demográficos brasileiros contêm um notável conjunto de dados sobre movimentos populacionais que, se adequadamente trabalhados, podem proporcionar estimativas sobre importantes aspectos dos fluxos migratórios. Por outro lado, dados não diretamente ligados à migração, manipulados a partir de técnicas indiretas, permitem chegar à estimação de saldos migratórios. A geração de estimativas de fluxos migratórios internos e, mais recentemente, internacionais, por meio da combinação de técnicas diretas e indiretas, representa um desafio metodológico que vem sendo enfrentado por alguns demógrafos dedicados aos estudos de migração. Poucos estudos, contudo, têm se destinado ao desenvolvimento e aperfeiçoamento de métodos e técnicas direcionados à estimação de categorias analíticas, tais como saldos migratórios intercensitários, migração de retorno, migração por etapas, migração de passagem e emigração internacional. O principal objetivo deste trabalho é, portanto, oferecer estimativas da emigração internacional de brasileiros por sexo, idade e unidades da federação, referentes à segunda metade da última década do século por meio da técnica das Razões Intercensitárias de Sobrevivência (RIS).","
									Artigos originais
						","
		Estimativas dos emigrantes internacionais do Brasil entre 1995 e 2000: uma aplicação do método das razões intercensitárias de sobrevivência
	"
24,"
								José Manuel Morán Faúndes
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/17,"Em janeiro de 2010 foi aprovada, no Chile, a Lei n. 20.418 que restabeleceu a entrega do contraceptivo de emergência (pílula do dia seguinte) no serviço público de saúde do país, que tinha sido proibida pelo Tribunal Constitucional, em 2007. Mais de um ano depois da entrada em vigor da Lei, o Ministério da Saúde publicou dados oficiais sobre a entrega deste método contraceptivo para o ano de 2010, o que abre novas possibilidades para entender os níveis de acessibilidade e de demanda. O presente trabalho analisa, pela primeira vez, a estrutura desta demanda no Sistema Nacional de Serviços de Saúde, avaliando a incidência de três variáveis socioeconômicas: a condição econômica, a escolaridade e a área de residência. Os resultados mostram que a taxa média de consultas pelo contraceptivo de emergência, entre mulheres de 15 a 44 anos, foi de 2,53 consultas por mil mulheres em idade fértil. Essa taxa corresponde a 4,27, para as adolescentes de 15 a 19 anos, e a 2,1, entre as mulheres de 20 a 44 anos. Os maiores níveis da demanda foram registrados nas comunidades com indicadores socioeconômicos deficientes (comunidades de baixa renda), ou seja, elevadas proporções de população de comunidades de baixo poder aquisitivo, de pessoas sem ensino médio completo e de população residente nas zonas rurais.","
									Artigos originais
						","
		Contraceptivo de emergência no Chile: estruturação da sua demanda em função das variáveis socioeconômicas
	"
25,,,https://rebep.org.br/revista/article/view/18,,,
26,,,https://rebep.org.br/revista/article/view/19,,,
27,"
								Adriana de Miranda-Ribeiro
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/20,"O presente artigo tem como objetivo estimar e comparar diferentes indicadores de fecundidade de período, com enfoque naqueles que corrigem distorções causadas na taxa de fecundidade total (TFT) observada em determinado período, a fim de criar e avaliar novas possibilidades de análise da fecundidade no Brasil. São apresentadas séries de TFT, TFTPPR, PATFR, PATFRajustada (K-O), PDTFR e PADTFR, bem como as séries históricas dos efeitos tempo e parturição e da idade média da fecundidade. Foram utilizados os bancos de dados sobre histórias de nascimentos, obtidos a partir das edições de 1980, 1991 e 2000 do Censo Demográfico brasileiro. Os resultados mostram que, no Brasil, a transição da fecundidade foi acompanhada, durante praticamente todo o período de análise, por um efeito tempo negativo e um efeito parturição positivo, que atuaram no sentido de inflar a fecundidade observada. No futuro próximo, a fecundidade observada no Brasil deverá ser diminuída, principalmente pela ação do efeito tempo positivo.","
									Artigos originais
						","
		Efeitos tempo, parturição e quantum no Brasil:indicadores de período e evidências empíricas
	"
28,"
								Eduardo Luiz Gonçalves Rios-Neto
							",,,,,
29,"
								José Alberto Magno de Carvalho
							",,,,,
30,"
								Maria Carolina Tomás
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/21,"Em face das mudanças na esfera da família e das preocupações acadêmicas ao se analisarem estas mudanças, a coleta de dados e as abordagens teóricas usadas em pesquisas sobre família merecem atenção. Neste artigo, são revisadas brevemente algumas importantes contribuições internacionais na área da família e apontados alguns desafios e perguntas ainda sem respostas para futuras pesquisas no Brasil. Os três assuntos principais são: mudanças no conceito de família; retorno no mercado de trabalho (salário, oportunidades de trabalho, preferências por contratação) de mulheres e, principalmente,mães e mais especificamente a transformação da discussão de mulheres trabalhadoras para famílias trabalhadoras; e a influência dos dois primeiros tópicos nos resultados das crianças. Ao final do artigo,reforçam-se estudos anteriores, com sugestões pontuais para a coleta de dados. Do lado teórico, é destacada a importância de três abordagens: não é suficiente considerar os aspectos econômicos da tomada de decisão na esfera da família; há uma necessidade de se revisar a teoria da Segunda Transição Demográfica, especialmente no que concerne à migração e à mortalidade e suas relações com a família; e a necessidade de uma integração maior entre estudos demográficos, gêneros e teorias feministas.","
									Artigos originais
						","
		Revendo estudos sobre famílias: um breve comentário sobre tópicos selecionados
	"
31,"
								Gustavo Henrique Naves Givisiez
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/22,"Uma habitação adequada deve possuir um espaço protegido de intempéries e apresentar condições favoráveis de salubridade, privacidade e segurança. Este artigo aborda a privacidade interna das moradias e sua capacidade em abrigar famílias de composições variadas com critérios mínimos de conforto. Parte das ações governamentais direcionadas à população de baixa renda deve envolver, além da construção de casas, a requalificação de imóveis e a prestação de assistência técnica. O presente artigo objetiva propor um critério para avaliar a privacidade interna das moradias, por meio de um indicador de necessidades de ampliações, estimado a partir de um número necessário de cômodos de apoio, dormitórios e banheiros, com base na idade, sexo e status conjugal dos moradores. Os critérios propostos ainda qualificam o indicador em sete níveis de necessidade, que variam entre a ampliação de apenas um cômodo, no nível mais brando, até a necessidade de construção de banheiro e, pelo menos, mais quatro cômodos, em seu nível mais avançado. Entende-se que o indicador proposto pode ser útil na concepção de políticas públicas voltadas à reforma e ampliação de residências. Os resultados indicam que 46% dos domicílios brasileiros, em 2008, demandavam reformas ou ampliações, mas a qualificação dessa demanda indica que as políticas públicas destinadas às reformas poderiam ser focalizadas, por exemplo, em níveis mais avançados de inadequação que totalizariam, aproximadamente, 16% dos domicílios no Brasil. A maior proporção de domicílios adequados é verificada na Região Sul (67%) e a menor na Região Norte, onde apenas 37% dos desses são adequados.","
									Artigos originais
						","
		Privacidade intradomiciliar: um estudo sobre as necessidades de ampliações em residências
	"
32,"
								Elzira Lúcia de Oliveira
							",,,,,
33,"
								João Batista Pamplona
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/23,"O objetivo central deste artigo é caracterizar e analisar a evolução da quantidade e o perfil dos trabalhadores no comércio ambulante da cidade de São Paulo, na primeira década de 2000. A base empírica é composta por séries da Pesquisa de Emprego e Desemprego (PED) na Região Metropolitana de São Paulo, realizada pela Fundação Seade. Os dados revelam que, em 2009, havia cerca de 100.000 comerciantes de rua trabalhando na capital paulista, número bem menor do que o verificado em 2004 (133.000 pessoas). Essa significativa redução deve ser atribuída à melhoria do mercado de trabalho metropolitano depois de 2004, expressa pela queda do desemprego. Não obstante a heterogeneidade dos comerciantes de rua, foi possível identificar um perfil predominante desses trabalhadores: são homens,de cor branca, de idade madura, com precária escolaridade, chefes de domicílios pobres e moradores há bastante tempo na cidade.","
									Artigos originais
						","
		Mercado de trabalho, informalidade e comércio ambulante em São Paulo
	"
34,"
								Aline Nogueira Menezes Mourão
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/24,"Este trabalho analisa a relação entre seguro-desemprego e emprego formal no mercado de trabalho brasileiro. A hipótese central é de que o recebimento deste benefício tem efeito negativo sobre a formalidade do trabalho no período posterior ao seu recebimento. São usados dados da PNAD (1999-2009). Para avaliar o efeito do seguro-desemprego sobre o mercado de trabalho brasileiro, foram estimados modelos de regressão logística. A variável dependente indica a formalidade no trabalho principal. Além de uma série de variáveis independentes (ano da pesquisa, região de residência, situação censitária, sexo, raça, idade e escolaridade), os modelos contêm uma variável de avaliação de política pública (segurodesemprego) e variáveis para analisar a tendência desta política pública no decorrer do tempo. O recebimento do benefício do seguro-desemprego apresenta efeito negativo de 42% sobre a formalidade no trabalho principal no momento posterior ao recebimento do benefício. A análise dos termos interativos permite indicar que reajustes dos valores do benefício, realizados desde 1999, não causaram efeitos relevantes na formalização do trabalho.","
									Artigos originais
						","
		Seguro-desemprego e formalidade no mercado de trabalho brasileiro
	"
35,"
								Mariana Eugenio Almeida
							",,,,,
36,"
								Ernesto Friedrich de Lima Amaral
							",,,,,
37,"
								James R. Hull
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/25,"Com base na tradição teórica relativa a estratégias de sobrevivência e portfólios de capitais, propõe-se uma adaptação e combinação de metodologias existentes para análise do bem-estar em domicílios rurais, com especial atenção à comparação entre diferentes contextos. Em primeiro lugar, estimou-se uma medida multidimensional de pobreza, baseada em lógica nebulosa, para duas áreas de fronteira agrícola: Nang Rong, na Tailândia, e Altamira, no Brasil. Para que a comparação entre os contextos fosse possível, uma segunda estimativa foi obtida, utilizando-se um subconjunto das medidas presentes nas duas áreas de estudo. Os resultados sugerem que o padrão de resposta em relação a várias características-chave – por exemplo, educação, renda e razão de dependência demográfica – é robusto à especificação do modelo. Conclui-se que generalizações comparativas, úteis na formulação de políticas públicas que sejam custo-eficientes quanto à intervenção em contextos distintos, poderiam ser identificadas em diversas situações. Mais genericamente, a presente abordagem fornece aos pesquisadores e gestores de políticas um arcabouço que possibilite entender a interação do contexto com a construção subjetiva de bem-estar. A compreensão dessa interação é útil para distinguir corolários estáveis de pobreza daqueles que são voláteis em contextos distintos.","
									Artigos originais
						","
		Reconstruindo Babel: comparando o bem-estar multidimensional de diferentes contextos culturais em busca de soluções comuns para o desenvolvimento
	"
38,"
								Gilvan Guedes
							",,,,,
39,"
								Pedro Herculano Guimarães Ferreira de Souza
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/26,"Estimativas feitas com base em pesquisas domiciliares amostrais muitas vezes diferem bastante dos dados administrativos. Nas PNADs, o número estimado de beneficiários do Programa Bolsa Família (PBF) e do Benefício de Prestação Continuada (BPC) é sempre bem inferior ao número oficial. O objetivo deste artigo é apresentar uma metodologia simples, baseada nas características do desenho amostral das pesquisas domiciliares, para explicar essa diferença, decompondo-a em três termos: o viés de representatividade (derivado da escolha dos locais, áreas censitárias ou municípios para a pesquisa); o viés de captação (decorrente de problemas de captação nos locais selecionados); e a interação entre ambos. A aplicação dessa metodologia ao PBF e ao BPC mostra que, no primeiro caso, o viés de representatividade explica boa parte do problema: a seleção de municípios pesquisados é responsável por 40% da diferença observada entre os dados oficiais e os da PNAD. No caso do BPC, o viés de representatividade tenderia a agir no sentido oposto. Portanto, o viés de captação é inteiramente responsável pela diferença observada. Além disso, a declaração equivocada do BPC como benefício previdenciário na PNAD parece ocorrer, sobretudo, no período anterior a 2004 e não explica inteiramente o pequeno número de beneficiários identificados nas PNADs.","
									Artigos originais
						","
		Uma metodologia para explicar diferenças entre dados administrativos e pesquisas amostrais, com aplicação para o Bolsa Família e o Benefício de Prestação Continuada na PNAD
	"
40,"
								João Carlos Tedesco
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/27,,"
									Notas de pesquisa
						","
		Dinâmica migratória dos senegaleses no norte do Rio Grande do Sul
	"
41,"
								Denize Grzybovski
							",,,,,
42,"
								Susana Beatriz Adamo
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/28,,"
									Resenha
						","
		Población y sustentabilidad en la era de los cambios ambientales globales: tendiendo puentes entre conocimiento científico y acción en Brasil
	"
43,"
								Lúcia Avelar
							","
				v. 30 n. 1 (2013)
			",https://rebep.org.br/revista/article/view/29,,"
									Resenha
						","
		Gênero e comportamento eleitoral
	"
44,"
								Iuri da Costa Leite
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/30,,"
									Editorial
						","
		Editorial
	"
45,"
								Carla Jorge Machado
							",,,,,
46,"
								Bernardo Lanza Queiroz
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/31,"
					O Censo brasileiro de 2010 incluiu, em seu questionário, a pergunta sobre óbitos ocorridos no domicílio nos últimos 12 meses. Anteriormente, uma questão similar havia sido incluída na amostra do Censo de 1980, mas sendo pouco utilizada. O objetivo do artigo é fazer uma avaliação da qualidade da informação de mortalidade do Censo, em especial sobre a estrutura etária da mortalidade. Em relação à cobertura da enumeração dos óbitos, esta saltou de 40%, no Censo de 1980, para 80%, no de 2010. Os resultados mostram que, para o Brasil, a qualidade das informações é bastante elevada tanto no nível como no padrão das curvas de mortalidade obtidas. A grande restrição existe para os grupos de idade mais avançados.
				","
									Artigos originais
						","
		O que os dados de mortalidade do Censo de 2010 podem nos dizer?
	"
47,"
								Diana O. T. Sawyer
							",,,,,
48,"
								Tiago Henrique P. M. França
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/32,"
					O presente artigo tem por objetivo evidenciar a implicação das deficiências sobre o atendimento, o atraso e a progressão escolar no ensino fundamental. Para tal, é utilizada a modelagem estatística logística binária. Após apresentação dos diferentes conceitos de deficiência, por meio do Censo 2000, transcorre-se a análise dos quesitos pretendidos. A progressão escolar é pesquisada por meio da medida nomeada probabilidade de progressão por série (PPS), dos três pontos de maior relevância no desenvolvimento do ensino fundamental. Os resultados indicam grande disparidade entre as deficiências na determinação dos elementos investigados. Em geral, todas as condições se mostram como fatores que desfavorecem o desenvolvimento na carreira escolar. Porém, a implicação das deficiências sobre as PPS se reduz com o avanço no ensino fundamental, sendo também menos significativa a cada etapa sequente. Entre os quesitos analisados, o atraso escolar demonstrou sofrer relevante variação, devido ao controle por fatores de natureza socioeconômica. No mais, este trabalho contém resultados e aponta contributos para o desenvolvimento científico dessa área de estudo.
				","
									Artigos originais
						","
		A escolarização das pessoas com deficiência no Brasil: atendimento, atraso e progressão no ensino fundamental segundo o Censo 2000
	"
49,"
								Eduardo Luis Gonçalves Rios-Neto
							",,,,,
50,"
								Flavia Pereira Xavier
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/33,"
					A investigação dos mecanismos de transmissão de status tem correspondido à grande parte dos esforços dos estudos empíricos dos sistemas de estratificação. As diferenças organizacionais encontradas entre setores econômicos e as diferenças regionais inserem-se justamente na dimensão estrutural dos estudos de estratificação. Assim, o principal objetivo deste artigo é investigar em que medida o status ocupacional atual dos indivíduos foi afetado pela sua origem social, considerando-se o momento em que estes indivíduos se inseriram no mercado de trabalho e onde se inseriram. Foram utilizadas as bases da Pesquisa Nacional por Amostra de Domicílios (PNAD) de 1973, 1982, 1988 e 1996 e estimados Modelos Hierárquicos que representam, para os estudos de transmissão intergeracional de status, a possibilidade de um melhor controle de fatoreestruturais. Observou-se que a segmentação do mercado de trabalho em diferentes setores econômicos e o nível de crescimento econômico no Brasil em diferentes coortes de entrada dos indivíduos no mercado de trabalho são mecanismos que funcionam como mediadores da transmissão de status, enquanto a segmentação regional não apresentou efeitos significativos.
				","
									Artigos originais
						","
		Estrutura social e transmissão intergeracional de status: uma análise hierárquica
	"
51,"
								Jorge Alexandre Barbosa Neves
							",,,,,
52,"
								Letícia J. Marteleto
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/34,"
					O objetivo desse artigo é examinar tendências recentes da estratificação educacional para adolescentes do Brasil e México em três períodos distintos: a década de 1980, de severa recessão; os anos 1990, um período de ajustes estruturais; e os anos 2000, década de crescimento. Além de matrículas escolares e probabilidades de transições educacionais, é examinada também a matrícula em escolas particulares, um aspecto importante da desigualdade educacional pouco abordado em estudos sobre o tema. Foram utilizados dados das PNADs para o Brasil e ENIGH para o México. Os resultados confirmam importantes benefícios trazidos pelas condições favoráveis recentes e pela universalização do ensino fundamental, mas também identificam crescentes desvantagens associadas ao acesso à escola particular, o que sugere a importância da perspectiva EMI (Effectively Maintained Inequality). O estudo enfatiza a importância de analisar a qualidade além da quantidade de ensino formal para uma compreensão mais profunda da estratificação educacional.
				","
									Artigos originais
						","
		Desigualdades de oportunidades educacionais dos adolescentes no Brasil e no México
	"
53,"
								Flavio Carvalhaes
							",,,,,
54,"
								Celia Hubert
							",,,,,
55,"
								Marco Túlio Aniceto França
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/35,"
					A educação restringe/amplia as oportunidades econômicas do indivíduo durante seu ciclo de vida. O sistema educacional de um país ou região tem papel fundamental na geração de igualdade de oportunidades. O artigo investiga os sistemas de ensino público (municipal e estadual) no Brasil e sua relação com a desigualdade. Os entes federados mais desiguais têm sistemas educacionais menos eficazes em prover ensino de qualidade, contudo, um maior nível de democracia aumenta esta eficácia. As desigualdades de riqueza, cor e nível sociocultural da família afetam o desempenho do indivíduo, independentemente da qualidade escolar, o que justifica políticas focalizadas que promovam igualdade de oportunidade por meio da educação.
				","
									Artigos originais
						","
		Sistemas públicos de ensino fundamental e a perpetuação da desigualdade: democracia e qualidade educacional como promotoras de justiça social
	"
56,"
								Flávio de Oliveira Gonçalves
							",,,,,
