link|edicao|tipo_trabalho|titulo
https://rebep.org.br/revista/article/view/26|v. 30 n. 1 (2013)|Artigos originais|Uma metodologia para explicar diferenças entre dados administrativos e pesquisas amostrais, com aplicação para o Bolsa Família e o Benefício de Prestação Continuada na PNAD
https://rebep.org.br/revista/article/view/27|v. 30 n. 1 (2013)|Notas de pesquisa|Dinâmica migratória dos senegaleses no norte do Rio Grande do Sul
https://rebep.org.br/revista/article/view/28|v. 30 n. 1 (2013)|Resenha|Población y sustentabilidad en la era de los cambios ambientales globales: tendiendo puentes entre conocimiento científico y acción en Brasil
https://rebep.org.br/revista/article/view/29|v. 30 n. 1 (2013)|Resenha|Gênero e comportamento eleitoral
https://rebep.org.br/revista/article/view/30|v. 29 n. 2 (2012)|Editorial|Editorial
https://rebep.org.br/revista/article/view/31|v. 29 n. 2 (2012)|Artigos originais|O que os dados de mortalidade do Censo de 2010 podem nos dizer?
https://rebep.org.br/revista/article/view/32|v. 29 n. 2 (2012)|Artigos originais|A escolarização das pessoas com deficiência no Brasil: atendimento, atraso e progressão no ensino fundamental segundo o Censo 2000
https://rebep.org.br/revista/article/view/33|v. 29 n. 2 (2012)|Artigos originais|Estrutura social e transmissão intergeracional de status: uma análise hierárquica
https://rebep.org.br/revista/article/view/34|v. 29 n. 2 (2012)|Artigos originais|Desigualdades de oportunidades educacionais dos adolescentes no Brasil e no México
https://rebep.org.br/revista/article/view/35|v. 29 n. 2 (2012)|Artigos originais|Sistemas públicos de ensino fundamental e a perpetuação da desigualdade: democracia e qualidade educacional como promotoras de justiça social
https://rebep.org.br/revista/article/view/36|v. 29 n. 2 (2012)|Artigos originais|Dinâmica demográfica da pobreza e da desigualdade de renda: o caso do Brasil
https://rebep.org.br/revista/article/view/37|v. 29 n. 2 (2012)|Artigos originais|Perfil socioeconômico-demográfico do beneficiário do Instituto Nacional do Seguro Social aposentado por invalidez e suas causas, no Estado da Paraíba, no quinquênio 2007-2011
https://rebep.org.br/revista/article/view/38|v. 29 n. 2 (2012)|Artigos originais|Padrões de casamento dos imigrantes brasileiros residentes em Portugal
https://rebep.org.br/revista/article/view/39|v. 29 n. 2 (2012)|Artigos originais|Autonomia, gênero e gravidez na adolescência: uma análise comparativa da experiência de adolescentes e mulheres jovens provenientes de camadas médias e populares em Belo Horizonte
https://rebep.org.br/revista/article/view/40|v. 29 n. 2 (2012)|Artigos originais|Fatores associados ao aborto induzido entre jovens pobres na cidade de São Paulo, 2007
https://rebep.org.br/revista/article/view/41|v. 29 n. 2 (2012)|Artigos originais|Demografia do consumo urbano: um estudo sobre a geração de resíduos sólidos domiciliares no município de Belo Horizonte
https://rebep.org.br/revista/article/view/42|v. 29 n. 2 (2012)|Artigos originais|População, recursos naturais e poder territorializado: uma perspectiva teórica supratemporal
https://rebep.org.br/revista/article/view/43|v. 29 n. 2 (2012)|Artigos originais|Exposições ambientais e leucemias na infância no Brasil: uma análise exploratória de sua associação
https://rebep.org.br/revista/article/view/44|v. 29 n. 2 (2012)|Notas de pesquisa|On the issue of homophily in respondent-driven sampling: notes based on the case of men who have sex with men in Belo Horizonte, Brazil
https://rebep.org.br/revista/article/view/45|v. 29 n. 2 (2012)|Notas de pesquisa|Perfil dos indivíduos diagnosticados com depressão maior no Estado de Minas Gerais, Brasil
https://rebep.org.br/revista/article/view/46|v. 29 n. 2 (2012)|Resenha|A saúde dos trabalhadores da saúde em foco
https://rebep.org.br/revista/article/view/47|v. 29 n. 2 (2012)|Resenha|Novos olhares sobre a imigração boliviana
https://rebep.org.br/revista/article/view/48|v. 29 n. 1 (2012)|Editorial|População e família no Brasil contemporâneo: muitas mudanças e algumas reflexões
https://rebep.org.br/revista/article/view/49|v. 29 n. 1 (2012)|Artigos originais|Percepção dos perigos ambientais urbanos e os efeitos de lugar na relação população-ambiente
https://rebep.org.br/revista/article/view/50|v. 29 n. 1 (2012)|Artigos originais|Padrões espaciais dos comportamentos de risco na cidade de Córdoba (Argentina) – 2001
https://rebep.org.br/revista/article/view/51|v. 29 n. 1 (2012)|Artigos originais|Metodologia qualitativa na demografia: uma proposta a partir da fecundidade
https://rebep.org.br/revista/article/view/52|v. 29 n. 1 (2012)|Artigos originais|O impacto da reforma da previdência social rural brasileira nos arranjos familiares: uma análise para entender a composição dos domicílios dado o aumento da renda dos idosos
https://rebep.org.br/revista/article/view/53|v. 29 n. 1 (2012)|Artigos originais|Estimação de sub-registros de óbitos em pequenas áreas com os métodos bayesiano empírico e algoritmo EM
https://rebep.org.br/revista/article/view/54|v. 29 n. 1 (2012)|Artigos originais|Do método para estimar o tamanho médio das redes pessoais e o tamanho de populações difíceis de contar
https://rebep.org.br/revista/article/view/55|v. 29 n. 1 (2012)|Artigos originais|Fatores comportamentais associados ao sobrepeso e à obesidade em escolares do Estado de Santa Catarina
https://rebep.org.br/revista/article/view/56|v. 29 n. 1 (2012)|Artigos originais|Fatores associados ao risco para doenças não transmissíveis em adultos brasileiros: estudo transversal de base populacional
https://rebep.org.br/revista/article/view/57|v. 29 n. 1 (2012)|Artigos originais|Vulnerabilidades ocupacionais e percepção de saúde em trabalhadores do SUS
https://rebep.org.br/revista/article/view/58|v. 29 n. 1 (2012)|Artigos originais|Padrões de nupcialidade na economia cafeeira de São Paulo (1860-1930)
https://rebep.org.br/revista/article/view/59|v. 29 n. 1 (2012)|Ponto de Vista|Contraceptive use dynamics research needs post fertility transition
https://rebep.org.br/revista/article/view/60|v. 29 n. 1 (2012)|Notas de pesquisa|A poluição na bacia aérea da região metropolitana de Belo Horizonte e sua repercussão na saúde da população
https://rebep.org.br/revista/article/view/61|v. 29 n. 1 (2012)|Notas de pesquisa|Família e demografia em Minas Gerais, séculos XVIII, XIX e XX
https://rebep.org.br/revista/article/view/62|v. 29 n. 1 (2012)|Resenha|Imigração e contextos culturais
https://rebep.org.br/revista/article/view/63|v. 29 n. 1 (2012)|Resenha|População, ambiente e mudanças climáticas: reflexões sobre o desenvolvimento do Centro-Oeste brasileiro
https://rebep.org.br/revista/article/view/64|v. 29 n. 1 (2012)|Resenha|Single-parenting: a case of class division on ideas of marriage and motherhood
https://rebep.org.br/revista/article/view/65|v. 28 n. 2 (2011)|Editorial|A transdisciplinaridade em perspectiva
https://rebep.org.br/revista/article/view/66|v. 28 n. 2 (2011)|Artigos originais|População e desenvolvimento além da primeira transição demográfica: discussão da  experiência de países do Leste e Sudeste da Ásia
https://rebep.org.br/revista/article/view/67|v. 28 n. 2 (2011)|Artigos originais|Diferenciais de mortalidade:  níveis e padrões segundo o sexo no  município de São Paulo de 1920 a 2005
https://rebep.org.br/revista/article/view/68|v. 28 n. 2 (2011)|Artigos originais|A evolução do sub-registro de mortes e causas de óbitos mal definidas em Minas Gerais: diferenciais regionais
https://rebep.org.br/revista/article/view/69|v. 28 n. 2 (2011)|Artigos originais|A redução da mortalidade infantil a partir da ótica dos direitos: uma comparação entre Argentina e Brasil
https://rebep.org.br/revista/article/view/70|v. 28 n. 2 (2011)|Artigos originais|Incorporando a variabilidade no processo de identificação do modelo de máximo global no Grade of Membership (GoM): considerações metodológicas
https://rebep.org.br/revista/article/view/71|v. 28 n. 2 (2011)|Artigos originais|Comparação entre metodologias de idade-período-coorte para o estudo de uma medida da progressão escolar no Brasil
https://rebep.org.br/revista/article/view/72|v. 28 n. 2 (2011)|Artigos originais|As amenidades naturais influenciam a escolha locacional dos trabalhadores? Evidências para as regiões metropolitanas brasileiras
https://rebep.org.br/revista/article/view/73|v. 28 n. 2 (2011)|Artigos originais|As dimensões demográficas das mudanças climáticas: cenários de mudança do clima e as tendências do crescimento populacional
https://rebep.org.br/revista/article/view/74|v. 28 n. 2 (2011)|Artigos originais|Von Thünen e o abastecimento madeireiro de centros urbanos pré-industriais
https://rebep.org.br/revista/article/view/76|v. 28 n. 2 (2011)|Artigos originais|Demografia de um povo indígena da Amazônia brasileira: os sateré-mawé
https://rebep.org.br/revista/article/view/77|v. 28 n. 2 (2011)|Artigos originais|Classificação dos domicílios “indígenas” no Censo Demográfico 2000: subsídios para a análise de condições de saúde
https://rebep.org.br/revista/article/view/78|v. 28 n. 2 (2011)|Notas de pesquisa|Análise do nível, padrão e  determinantes dos fluxos populacionais entre Bahia  e São Paulo
https://rebep.org.br/revista/article/view/79|v. 28 n. 2 (2011)|Notas de pesquisa|Aspectos práticos na identificação de um modelo Grade of Membership (GoM) de máximo global: o uso da moda das probabilidades estimadas
https://rebep.org.br/revista/article/view/80|v. 28 n. 2 (2011)|Resenha|Contemporaneidade, escalas e lugares – panoramas dos estudos de população e ambiente na atualidade
https://rebep.org.br/revista/article/view/81|v. 28 n. 2 (2011)|Resenha|Encontro marcado entre demografia e religião
https://rebep.org.br/revista/article/view/82|v. 28 n. 1 (2011)|Editorial|Primeiros resultados do Censo Demográfico 2010
https://rebep.org.br/revista/article/view/83|v. 28 n. 1 (2011)|Artigos originais|Diferenças intertemporais na média e distribuição do desempenho escolar no Brasil: o papel do nível socioeconômico, 1997 a 2005
https://rebep.org.br/revista/article/view/84|v. 28 n. 1 (2011)|Artigos originais|Reforma da Previdência Social: simulações e impactos sobre os diferenciais de sexo
https://rebep.org.br/revista/article/view/85|v. 28 n. 1 (2011)|Artigos originais|A relação entre parturição e trabalho feminino no Brasil
https://rebep.org.br/revista/article/view/86|v. 28 n. 1 (2011)|Artigos originais|Migrações e a dispersão espacial da população nas Regiões de Influência das principais metrópoles brasileiras
https://rebep.org.br/revista/article/view/87|v. 28 n. 1 (2011)|Artigos originais|A dinâmica migratória do Paraná: o caso da região Sudoeste ao longo do século XX
https://rebep.org.br/revista/article/view/88|v. 28 n. 1 (2011)|Artigos originais|Polígonos de Voronoi como alternativa aos problemas das Áreas Mínimas Comparáveis: uma análise das mudanças populacionais na Região Norte do Brasil
https://rebep.org.br/revista/article/view/89|v. 28 n. 1 (2011)|Artigos originais|Aplicação da análise exploratória espacial na identificação de configurações territoriais
https://rebep.org.br/revista/article/view/90|v. 28 n. 1 (2011)|Artigos originais|Proposta metodológica para o cálculo e análise espacial do IDH intraurbano de Viçosa – MG
https://rebep.org.br/revista/article/view/91|v. 28 n. 1 (2011)|Artigos originais|Explicações para a influência da religião no comportamento sexual de adolescentes no Brasil: efeitos diretos e indiretos
https://rebep.org.br/revista/article/view/92|v. 28 n. 1 (2011)|Artigos originais|Fatores associados aos óbitos neonatais e pós-neonatais em Moçambique
https://rebep.org.br/revista/article/view/93|v. 28 n. 1 (2011)|Artigos originais|Idoso, família e domicílio: uma revisão narrativa sobre a decisão de morar sozinho
https://rebep.org.br/revista/article/view/94|v. 28 n. 1 (2011)|Notas de pesquisa|Ciclo de vida domiciliar, ciclo do lote e mudança no uso da terra na Amazônia brasileira: revisão crítica da literatura
https://rebep.org.br/revista/article/view/95|v. 28 n. 1 (2011)|Resenha|Self-expression and family values: how are they related to marriage, divorce, and remarriage?
https://rebep.org.br/revista/article/view/96|v. 28 n. 1 (2011)|Resenha|Migração e Geografia
https://rebep.org.br/revista/article/view/97|v. 28 n. 1 (2011)|Resenha|Por uma demografia das mudanças climáticas
https://rebep.org.br/revista/article/view/98|v. 28 n. 1 (2011)|Resenha|População, ambiente e sustentabilidade – desafio à demografia ambiental
https://rebep.org.br/revista/article/view/99|v. 27 n. 2 (2010)|Editorial|Editorial
https://rebep.org.br/revista/article/view/100|v. 27 n. 2 (2010)|Artigos originais|A hierarquia urbana na Amazônia
https://rebep.org.br/revista/article/view/101|v. 27 n. 2 (2010)|Artigos originais|Saúde e crescimento econômico entre 1991 e 2000: uma análise empírica para os Estados brasileiros
https://rebep.org.br/revista/article/view/102|v. 27 n. 2 (2010)|Artigos originais|Problemas no preenchimento da Declaração de Óbito: estudo exploratório
https://rebep.org.br/revista/article/view/103|v. 27 n. 2 (2010)|Artigos originais|Da atividade à invalidez permanente: um estudo utilizando dados do Regime Geral de Previdência Social (RGPS) do Brasil no período 1999-2002
https://rebep.org.br/revista/article/view/104|v. 27 n. 2 (2010)|Artigos originais|Construção de tábuas de mortalidade de inválidos por meio de modelos estatísticos bayesianos
https://rebep.org.br/revista/article/view/105|v. 27 n. 2 (2010)|Artigos originais|Uma investigação sobre a aplicação de bônus adicional como política de ação afirmativa na Universidade Federal de Minas Gerais (UFMG)
https://rebep.org.br/revista/article/view/106|v. 27 n. 2 (2010)|Artigos originais|Nascer e garantir-se no Reino de Deus; Curitiba, séculos XVIII e XIX
https://rebep.org.br/revista/article/view/107|v. 27 n. 2 (2010)|Artigos originais|“Ageismo” no Brasil: O que significa ? Quem pratica? O que fazer com isto?
https://rebep.org.br/revista/article/view/108|v. 27 n. 2 (2010)|Artigos originais|Ser migrante: implicações territoriais e existenciais da migração
https://rebep.org.br/revista/article/view/109|v. 27 n. 2 (2010)|Artigos originais|Domínios de saúde e raça nas medidas genéricas de qualidade de vida associada à saúde na literatura dos Estados Unidos
https://rebep.org.br/revista/article/view/110|v. 27 n. 2 (2010)|Ponto de Vista|Taking advantage of the 2010 population census round to strengthen the global evidence base on the health workforce
https://rebep.org.br/revista/article/view/111|v. 27 n. 2 (2010)|Notas de pesquisa|Processos de constituição, organização e manutenção da vida doméstico-familiar na Cidade do Salvador
https://rebep.org.br/revista/article/view/112|v. 27 n. 2 (2010)|Notas de pesquisa|Análise comparativa de classificações de causas evitáveis de morte em capitais brasileiras: o caso das doenças cerebrovasculares
https://rebep.org.br/revista/article/view/113|v. 27 n. 2 (2010)|Resenha|Reforma previdenciária: uma questão demográfica?
https://rebep.org.br/revista/article/view/114|v. 27 n. 2 (2010)|Resenha|Em busca da liberdade do ir-e-vir
https://rebep.org.br/revista/article/view/115|v. 27 n. 1 (2010)|Editorial|O passado é o prólogo
https://rebep.org.br/revista/article/view/116|v. 27 n. 1 (2010)|Artigos originais|Ajustando o método da equação geral de balanceamento para migração
https://rebep.org.br/revista/article/view/117|v. 27 n. 1 (2010)|Artigos originais|Identificabilidade e estabilidade dos parâmetros no método Grade of Membership (GoM): considerações metodológicas e práticas
https://rebep.org.br/revista/article/view/118|v. 27 n. 1 (2010)|Artigos originais|Estimativas e projeções populacionais para pequenos domínios: uma avaliação da precisão para municípios do Rio de Janeiro em 2000 e 2007
https://rebep.org.br/revista/article/view/119|v. 27 n. 1 (2010)|Artigos originais|Mortalidade infantil e envolvimento religioso materno no Brasil
https://rebep.org.br/revista/article/view/120|v. 27 n. 1 (2010)|Artigos originais|A evolução da mortalidade por causas mal definidas na população idosa em quatro capitais brasileiras, 1996-2007
https://rebep.org.br/revista/article/view/121|v. 27 n. 1 (2010)|Artigos originais|Tendências recentes da mobilidade espacial da população no Estado do Rio de Janeiro
https://rebep.org.br/revista/article/view/122|v. 27 n. 1 (2010)|Artigos originais|Segregação socioespacial e inserção no mercado de trabalho na Região Metropolitana de Campinas
https://rebep.org.br/revista/article/view/123|v. 27 n. 1 (2010)|Artigos originais|Dinâmicas de urbanização na hiperperiferia da metrópole de São Paulo: análise dos processos de expansão urbana e das situações de vulnerabilidade socioambiental em escala intraurbana
https://rebep.org.br/revista/article/view/124|v. 27 n. 1 (2010)|Artigos originais|Um estudo da qualidade da informação censitária em listas nominativas e uma aproximação da estrutura ocupacional da província de Minas Gerais
https://rebep.org.br/revista/article/view/125|v. 27 n. 1 (2010)|Artigos originais|Histórias de “movimentos”: embarcações e população portuguesas na Amazônia joanina
https://rebep.org.br/revista/article/view/126|v. 27 n. 1 (2010)|Artigos originais|Idade materna e mortalidade infantil: efeitos nulos, biológicos ou socioeconômicos?
https://rebep.org.br/revista/article/view/127|v. 27 n. 1 (2010)|Ponto de Vista|Sobre “se perder”, “vacilar” e não encontrar o “homem certo”: mudanças ideacionais, instituições e a fecundidade abaixo do nível de reposição
https://rebep.org.br/revista/article/view/128|v. 27 n. 1 (2010)|Notas de pesquisa|As instituições de longa permanência para idosos no Brasil
https://rebep.org.br/revista/article/view/129|v. 27 n. 1 (2010)|Resenha|Mudanças climáticas globais: as dimensões humanas em perspectiva
https://rebep.org.br/revista/article/view/130|v. 27 n. 1 (2010)|Resenha|Trinta anos após um filho na adolescência
https://rebep.org.br/revista/article/view/131|v. 26 n. 2 (2009)|Editorial|Editorial
https://rebep.org.br/revista/article/view/132|v. 26 n. 2 (2009)|Artigos originais|Vulnerabilidade do lugar vs. vulnerabilidade sociodemográfica: implicações metodológicas de uma velha questão
https://rebep.org.br/revista/article/view/133|v. 26 n. 2 (2009)|Artigos originais|Como tratar os dados da amostra do Censo Demográfico 2000 na obtenção de estimativas para os “indígenas”? Um estudo a partir das Terras Indígenas Xavante, Mato Grosso
https://rebep.org.br/revista/article/view/134|v. 26 n. 2 (2009)|Artigos originais|População, grupos étnico-raciais e economia cafeeira: São Carlos, 1907
https://rebep.org.br/revista/article/view/135|v. 26 n. 2 (2009)|Artigos originais|Aborto e Parlamento: um estudo sobre Brasil, Uruguai e Argentina
https://rebep.org.br/revista/article/view/136|v. 26 n. 2 (2009)|Artigos originais|Impacto das mudanças demográficas nas demandas setoriais na América Latina
https://rebep.org.br/revista/article/view/137|v. 26 n. 2 (2009)|Artigos originais|Perfil demográfico e epidemiológico dos usuários de medicamentos de alto custo no Sistema Único de Saúde
https://rebep.org.br/revista/article/view/138|v. 26 n. 2 (2009)|Artigos originais|Insegurança alimentar, condições socioeconômicas e indicadores antropométricos em crianças da Região Metropolitana do Rio de Janeiro/Brasil
https://rebep.org.br/revista/article/view/139|v. 26 n. 2 (2009)|Artigos originais|Algumas considerações acerca do uso e aplicação de medidas de qualidade de vida associada à saúde, com ênfase em estudos sobre sobreviventes de câncer na infância e adolescência em países em desenvolvimento
https://rebep.org.br/revista/article/view/140|v. 26 n. 2 (2009)|Notas de pesquisa|Fecundidade na adolescência e religião em Belo Horizonte: um primeiro exercício
https://rebep.org.br/revista/article/view/141|v. 26 n. 2 (2009)|Resenha|Legado e relegado: notas sobre as contribuições de Bailey ao debate da questão racial no Brasil
https://rebep.org.br/revista/article/view/142|v. 26 n. 1 (2009)|Editorial|Editorial: escrever, submeter e publicar na Rebep, a nossa revista indexada
https://rebep.org.br/revista/article/view/143|v. 26 n. 1 (2009)|Artigos originais|Utilização de dados secundários do SIM, Sinasc e SIH na produção científica brasileira de 1990 a 2006
https://rebep.org.br/revista/article/view/144|v. 26 n. 1 (2009)|Artigos originais|Reconstrução de histórias de nascimentos a partir de dados censitários: uma análise comparativa de duas metodologias
https://rebep.org.br/revista/article/view/145|v. 26 n. 1 (2009)|Artigos originais|Perfil demográfico dos Hupd’äh, povo Maku da região do Alto Rio Negro, Amazonas (2000-2003)
https://rebep.org.br/revista/article/view/146|v. 26 n. 1 (2009)|Artigos originais|A população Xakriabá, Minas Gerais: aspectos demográficos, políticos, sociais e econômicos
https://rebep.org.br/revista/article/view/147|v. 26 n. 1 (2009)|Artigos originais|Notas sobre o comportamento reprodutivo da população autodeclarada indígena – Censos Demográficos 1991 e 2000
https://rebep.org.br/revista/article/view/148|v. 26 n. 1 (2009)|Artigos originais|Redes sociais em uma investigação de migração indígena: o caso de Manaus
https://rebep.org.br/revista/article/view/149|v. 26 n. 1 (2009)|Artigos originais|Diferencial de salários entre homens e mulheres segundo a condição de migração
https://rebep.org.br/revista/article/view/150|v. 26 n. 1 (2009)|Artigos originais|A escolha do cônjuge
https://rebep.org.br/revista/article/view/151|v. 26 n. 1 (2009)|Ponto de Vista|Seis características das mortes violentas no Brasil
https://rebep.org.br/revista/article/view/152|v. 26 n. 1 (2009)|Notas de pesquisa|Confiabilidade do informante secundário em inquéritos de saúde
https://rebep.org.br/revista/article/view/153|v. 26 n. 1 (2009)|Notas de pesquisa|Consistência e identificabilidade no modelo Grade of Membership: uma nota metodológica
https://rebep.org.br/revista/article/view/154|v. 26 n. 1 (2009)|Resenha|Por um paradigma da(s) mobilidade(s)
https://rebep.org.br/revista/article/view/155|v. 25 n. 2 (2008)|Editorial|Nota do Editor
https://rebep.org.br/revista/article/view/156|v. 25 n. 2 (2008)|Artigos originais|Família, pobreza e acesso a programas de transferência de renda nas regiões metropolitanas brasileiras
https://rebep.org.br/revista/article/view/157|v. 25 n. 2 (2008)|Artigos originais|A mulher na recuperação recente do mercado de trabalho brasileiro
https://rebep.org.br/revista/article/view/158|v. 25 n. 2 (2008)|Artigos originais|Background familiar versus perfil escolar do município: qual possui maior impacto no resultado educacional dos alunos brasileiros?
https://rebep.org.br/revista/article/view/159|v. 25 n. 2 (2008)|Artigos originais|Collas e cambas do outro lado da fronteira: aspectos da distribuição diferenciada da imigração boliviana em Corumbá, Mato Grosso do Sul
https://rebep.org.br/revista/article/view/160|v. 25 n. 2 (2008)|Artigos originais|A presença de imigrantes de países do Cone Sul no Brasil: medidas e reflexões
https://rebep.org.br/revista/article/view/161|v. 25 n. 2 (2008)|Artigos originais|Emigração internacional de brasileiros para os Estados Unidos: as redes sociais e o papel de intermediação nos deslocamentos exercido pelas agências de turismo
https://rebep.org.br/revista/article/view/162|v. 25 n. 2 (2008)|Artigos originais|Fecundidade abaixo da reposição, população estacionária por migração e efeitos sobre a estrutura etária
https://rebep.org.br/revista/article/view/163|v. 25 n. 2 (2008)|Artigos originais|Mortalidade por causas externas em três cidades latino-americanas: Córdoba (Argentina), Campinas (Brasil) e Medellín (Colômbia), 1980-2005
https://rebep.org.br/revista/article/view/164|v. 25 n. 2 (2008)|Artigos originais|Análise espacial dos acidentes de trânsito com vítimas fatais: comparação entre o local de residência e de ocorrência do acidente no Rio de Janeiro
https://rebep.org.br/revista/article/view/165|v. 25 n. 2 (2008)|Artigos originais|Fatores associados à prevalência de diabetes auto-referido entre idosos de Minas Gerais
https://rebep.org.br/revista/article/view/166|v. 25 n. 2 (2008)|Artigos originais|Dinâmica Demográfica dos Kamaiurá, povo Tupi do Parque Indígena do Xingu, Mato Grosso, Brasil, 1970-1999
https://rebep.org.br/revista/article/view/167|v. 25 n. 2 (2008)|Ponto de Vista|Perspectivas do crescimento das populações indígenas e os direitos constitucionais
https://rebep.org.br/revista/article/view/168|v. 25 n. 2 (2008)|Notas de pesquisa|Medindo o processo de compressão da mortalidade no Brasil: uma apresentação dos indicadores
https://rebep.org.br/revista/article/view/169|v. 25 n. 2 (2008)|Resenha|A sociedade (e as pessoas) em movimento
https://rebep.org.br/revista/article/view/170|v. 25 n. 1 (2008)|Editorial|Editorial
https://rebep.org.br/revista/article/view/171|v. 25 n. 1 (2008)|Artigos originais|Transição demográfica e desigualdades sociais no Brasil
https://rebep.org.br/revista/article/view/172|v. 25 n. 1 (2008)|Artigos originais|Transição para a vida adulta no Brasil: análise comparada entre 1970 e 2000
https://rebep.org.br/revista/article/view/173|v. 25 n. 1 (2008)|Artigos originais|“Vai lá, tira a roupa... e... pronto...”: o acesso a consultas ginecológicas em Belo Horizonte, MG
https://rebep.org.br/revista/article/view/174|v. 25 n. 1 (2008)|Artigos originais|Sobre regimes demográficos restritos: comportamento reprodutivo e cultura familiar entre os ucranianos no meio rural paranaense (1895-1980)
https://rebep.org.br/revista/article/view/175|v. 25 n. 1 (2008)|Artigos originais|Adiamento do ingresso no mercado de trabalho sob o enfoque demográfico: uma análise das regiões metropolitanas brasileiras
https://rebep.org.br/revista/article/view/177|v. 25 n. 1 (2008)|Artigos originais|As cidades e a classe criativa no Brasil: diferenças espaciais na distribuição de indivíduos qualificados nos municípios brasileiros
https://rebep.org.br/revista/article/view/178|v. 25 n. 1 (2008)|Artigos originais|Movimentos pendulares das cidades interioranas de porte médio de Cascavel e Toledo, no Paraná
https://rebep.org.br/revista/article/view/179|v. 25 n. 1 (2008)|Artigos originais|O Brasil e a Espanha na dinâmica das migrações internacionais: um breve panorama da situação dos emigrantes brasileiros na Espanha
https://rebep.org.br/revista/article/view/180|v. 25 n. 1 (2008)|Artigos originais|Contrapontos da história da hanseníase no Brasil: cenários de estigma e confinamento
https://rebep.org.br/revista/article/view/181|v. 25 n. 1 (2008)|Notas de pesquisa|Linkage entre registros do Sihsus e Sinasc: possíveis vieses decorrentes do não-pareamento
https://rebep.org.br/revista/article/view/182|v. 25 n. 1 (2008)|Notas de pesquisa|Distribuição espacial e crescimento da população idosa nas capitais brasileiras de 1980 a 2006: um estudo ecológico
https://rebep.org.br/revista/article/view/183|v. 25 n. 1 (2008)|Resenha|Novos significados da mobilidade
https://rebep.org.br/revista/article/view/184|v. 24 n. 2 (2007)|Editorial|Nota do Editor
https://rebep.org.br/revista/article/view/185|v. 24 n. 2 (2007)|Artigos originais|O lugar do espaço na equação população/meio ambiente
https://rebep.org.br/revista/article/view/186|v. 24 n. 2 (2007)|Artigos originais|Em direção a uma demografia ambiental? Avaliação e tendências dos estudos de população e ambiente no Brasil
