"link" "edicao" "autor" "paginas" "tipo_trabalho" "titulo"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "Paulo Paiva, José Alberto Magno de Carvalho" "163-179" "Resenha" "World development report, 1984"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "Ivany Câmara Neiva" "181-186" "Resumo de Pesquisas Concluídas" "O outro lado da Colônia: contradições e formas de resistência popular na Colônia Agrícola de Goiás"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "Fundação Seade" "187-195" "Resumo de Pesquisas Concluídas" "Pesquisa de emprego e desemprego na Grande São Paulo"
"https://rebep.org.br/revista/issue/view/3" "v. 2 n. 2 (1985)" "Ana Maria Canesqui" "1-20" "Artigos originais" "Planejamento familiar nos planos governamentais"
"https://rebep.org.br/revista/issue/view/3" "v. 2 n. 2 (1985)" "Elza Berquó, Alicia M. Bercovich" "21-38" "Artigos originais" "Redescobrindo o Brasil: viagem à demografia de Giorgio Mortara"
"https://rebep.org.br/revista/issue/view/3" "v. 2 n. 2 (1985)" "Geraldo Muller" "39-58" "Artigos originais" "SP 80: o trabalho na máquina agrária paulista nos 70"
"https://rebep.org.br/revista/issue/view/3" "v. 2 n. 2 (1985)" "Letícia B. Costa" "59-70" "Artigos originais" "A questão da ocupação no registro civil"
"https://rebep.org.br/revista/issue/view/3" "v. 2 n. 2 (1985)" "Sonia Maria Giacomini" "71-98" "Artigos originais" "A conversão da mulher em mãe: uma leitura do \"\"a mãi de família\"\""
"https://rebep.org.br/revista/issue/view/3" "v. 2 n. 2 (1985)" "Zulmara Clara Sauner Posse" "99-128" "Artigos originais" "Estudos de população pré-histórica"
"https://rebep.org.br/revista/issue/view/3" "v. 2 n. 2 (1985)" "Altiva Pilatti Balhana" "131-136" "Resenha" "Pour la démogrphie historique e histoire de la démographie"
"https://rebep.org.br/revista/issue/view/3" "v. 2 n. 2 (1985)" "Violeta Refkalefsky Loureiro" "139-142" "Resumo de Pesquisas Concluídas" "Capitalismo na Amazônia: utopia (e miséria) da ascensão social"
"https://rebep.org.br/revista/issue/view/4" "v. 3 n. 1 (1986)" "George Martine, Vilmar Evangelista Faria" "1-24" "Artigos originais" "Contexto social da política e da pesquisa em população no Brasil"
"https://rebep.org.br/revista/issue/view/4" "v. 3 n. 1 (1986)" "Guaraci Adeodato Alves de Souza" "25-39" "Artigos originais" "Proletário e migrante: livre para a subordinação"
"https://rebep.org.br/revista/issue/view/4" "v. 3 n. 1 (1986)" "Maria Coleta F. A. de Oliveira, Felícia R Madeira" "41-62" "Artigos originais" "População e força de trabalho: o caso da cafeicultura no oeste paulista"
"https://rebep.org.br/revista/issue/view/4" "v. 3 n. 1 (1986)" "Paulo de Tarso A. Paiva" "63-86" "Artigos originais" "Cinquenta anos de crescimento populacional e absorção de mão-de-obra no Brasil: de 1950 a 2000"
"https://rebep.org.br/revista/issue/view/4" "v. 3 n. 1 (1986)" "Ivete Ribeiro" "89-100" "Resumo de Pesquisas Concluídas" "Sociedade contemporânea, família no Brasil e valores: alterações e permanências"
"https://rebep.org.br/revista/issue/view/4" "v. 3 n. 1 (1986)" "R. Parry Scott" "101-105" "Resumo de Pesquisas Concluídas" "Migrações inter-regionais e estratégia doméstica"
"https://rebep.org.br/revista/issue/view/5" "v. 3 n. 2 (1986)" "Alain Bideau" "1-21" "Artigos originais" "Os órfãos e a mortalidade dos adultos: o exemplo francês de 1740 a 1829"
"https://rebep.org.br/revista/issue/view/5" "v. 3 n. 2 (1986)" "Ana Amélia Camarano" "23-46" "Artigos originais" "Migração e estrutura produtiva: o caso das regiões metropolitanas nordestinas"
"https://rebep.org.br/revista/issue/view/5" "v. 3 n. 2 (1986)" "Ralph Hakkert" "47-65" "Artigos originais" "Mecanismos subjacentes à relação entre a mortalidade infanto-juvenil e a educação dos pais"
"https://rebep.org.br/revista/issue/view/5" "v. 3 n. 2 (1986)" "Rogelio E. Fernandez, José Alberto Magno de Carvalho" "67-86" "Artigos originais" "A evolução da fecundidade no Brasil, período 1957-1979. Aplicação da técnica dos filhos próprios para se estimar a fecundidade ano a ano"
"https://rebep.org.br/revista/issue/view/5" "v. 3 n. 2 (1986)" "Susana Pasternak Taschner, Lucia Maria Machado Bogus" "87-129" "Artigos originais" "Mobilidade espacial da população brasileira: aspectos e tendências"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Paulo Paiva" "3-6" "Discurso" "Discurso de abertura do V Encontro Nacional"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Neide Patarra" "7-8" "Discurso" "Discurso de abertura do V Encontro Nacional"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Elza Berquó" "9-10" "Discurso" "Discurso de abertura do V Encontro Nacional"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Axel Mundigo" "11-12" "Discurso" "Discurso de abertura do V Encontro Nacional"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "José Alberto Magno de Carvalho" "13-14" "Discurso" "Discurso de abertura do V Encontro Nacional"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Eramis Bueno" "17-20" "Mesa" "Política de população em Cuba"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Raul Benitez Zenteno" "21-31" "Mesa" "E agora o que fazemos"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "ABEP _abep" "33-36" "Debate" "Debates"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Ansley J. Coale" "39-60" "Painel" "As implicações sociais da fecundidade abaixo do nível de substituição"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Mercedes Concepción" "61-76" "Painel" "Políticas de população em alguns países asiáticos"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Axel Mundigo" "77-86" "Painel" "Os casos de China e Brasil"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Carmen A. Miró" "87-94" "Painel" "Políticas de população na América Latina em meados de 1985: um panorama confuso"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Elza Berquó" "95-103" "Painel" "Sobre a política de planejamento familiar no Brasil"
"https://rebep.org.br/revista/issue/view/6" "v. 4 n. 1 (1987)" "Carlos Eugenio de C. Ferreira, Luis Patricio Ortiz Flores" "107-135" "Prêmio" "As dimensões da mortalidade infantil em São Paulo"
"https://rebep.org.br/revista/issue/view/7" "v. 4 n. 2 (1987)" "Cheywa Rojza Spindel" "1-38" "Artigos originais" "Formação de um novo proletariado: as operárias do distrito industrial de Manaus"
"https://rebep.org.br/revista/issue/view/7" "v. 4 n. 2 (1987)" "George Martine, Alfonso R. Arias" "39-84" "Artigos originais" "A evolução do emprego no campo"
"https://rebep.org.br/revista/issue/view/7" "v. 4 n. 2 (1987)" "José Marcos Pinto da Cunha" "87-111" "Artigos originais" "A migração nas regiões administrativas da grande São Paulo segundo o censo de 1980"
"https://rebep.org.br/revista/issue/view/7" "v. 4 n. 2 (1987)" "Letícia B. Costa" "115-117" "Resenha" "Nuevas fronteras de la demografia"
"https://rebep.org.br/revista/issue/view/7" "v. 4 n. 2 (1987)" "Ivonete Batista Xavier" "121-123" "Resumo de Pesquisas Concluídas" "Desemprego, papéis sexuais e fecundidade"
"https://rebep.org.br/revista/issue/view/7" "v. 4 n. 2 (1987)" "Cesar G. Victora, J. Patrick Vaughan" "127-151" "Prêmio" "Propriedade da terra e saúde infantil no Rio Grande do Sul: as relações entre produção agrícola, desnutrição e mortalidade"
"https://rebep.org.br/revista/issue/view/8" "v. 5 n. 1 (1988)" "Denise Maldi Meireles" "1-20" "Artigos originais" "Sugestões para uma análise comparativa da fecundidade em populações indígenas"
"https://rebep.org.br/revista/issue/view/8" "v. 5 n. 1 (1988)" "Ellen F. Woortmann" "21-35" "Artigos originais" "Keim e parentesco: reflexões sobre uma categoria cultural de colonos teuto-brasileiros"
"https://rebep.org.br/revista/issue/view/8" "v. 5 n. 1 (1988)" "George Martine, Alfonso R. Arias" "37-70" "Artigos originais" "A evolução do emprego no campo - 2ª parte"
"https://rebep.org.br/revista/issue/view/8" "v. 5 n. 1 (1988)" "José Flávio Motta" "71-101" "Artigos originais" "A família escrava e a penetração do café em Bananal, 1801-1829"
"https://rebep.org.br/revista/issue/view/8" "v. 5 n. 1 (1988)" "Tania Dauster" "103-125" "Artigos originais" "Código familiar: uma versão sobre o significado da família em camadas médias urbanas"
"https://rebep.org.br/revista/issue/view/8" "v. 5 n. 1 (1988)" "Carlos Eugenio de C. Ferreira" "129-132" "Resenha" "Medidas e análise da mortalidade: novas abordagens"
"https://rebep.org.br/revista/issue/view/8" "v. 5 n. 1 (1988)" "Laura Rodriguez Wong" "135-139" "Resumo de Pesquisas Concluídas" "O jovem na grande São Paulo"
"https://rebep.org.br/revista/issue/view/9" "v. 5 n. 2 (1988)" "Cláudio Caetano Machado, Raph Hakkert" "1-20" "Artigos originais" "Uma análise exploratória da informação sobre a migração inter e intramunicipal no censo demográfico de 1980"
"https://rebep.org.br/revista/issue/view/9" "v. 5 n. 2 (1988)" "Maria Isabel Baltar da Rocha" "21-33" "Artigos originais" "População, reprodução e saúde: anotações sobre a questão de uma política social"
"https://rebep.org.br/revista/issue/view/9" "v. 5 n. 2 (1988)" "Neide L. Patarra, Rosana Baeninger" "35-61" "Artigos originais" "Família na transição demográfica: o caso de São Paulo"
"https://rebep.org.br/revista/issue/view/9" "v. 5 n. 2 (1988)" "Sérgio Odilon Nadalin" "63-91" "Artigos originais" "Sexualidade, casamento e reprodução"
"https://rebep.org.br/revista/issue/view/9" "v. 5 n. 2 (1988)" "Altiva Pilatti Balhana" "95-98" "Resenha" "Naissance d´une population"
"https://rebep.org.br/revista/issue/view/9" "v. 5 n. 2 (1988)" "Mary Garcia Castro" "99-102" "Resenha" "Muchachas no more: household workers in Latin America and the Caribbean"
"https://rebep.org.br/revista/issue/view/10" "v. 6 n. 1 (1989)" "Cristina Bruschini" "1-23" "Artigos originais" "Uma abordagem sociológica de família"
"https://rebep.org.br/revista/issue/view/10" "v. 6 n. 1 (1989)" "Maria Coleta F. A. Oliveira" "25-33" "Artigos originais" "Trabalho, família e condição feminina: considerações sobre a demanda por filhos"
"https://rebep.org.br/revista/issue/view/10" "v. 6 n. 1 (1989)" "Carmen Barroso" "35-60" "Artigos originais" "As pesquisas sobre o aborto na América Latina e os estudos de mulher"
"https://rebep.org.br/revista/issue/view/10" "v. 6 n. 1 (1989)" "Alicia M. Bercovich" "61-87" "Artigos originais" "Considerações sobre a fecundidade da população negra no Brasil"
"https://rebep.org.br/revista/issue/view/10" "v. 6 n. 1 (1989)" "Paulo Paiva" "91-93" "Resenha" "Demos, carta demográfica sobre o México, 1988"
"https://rebep.org.br/revista/issue/view/10" "v. 6 n. 1 (1989)" "Hélio Moura" "95-97" "Resenha" "Princípios e métodos de análise da demografia portuguesa"
"https://rebep.org.br/revista/issue/view/10" "v. 6 n. 1 (1989)" "Eni de Mesquita Samara, Maria Silvia C. Beozzo Bassanezi, Nelson Hideiki Nozoe" "101-103" "Notas de pesquisa" "Estatísticas históricas para estudos de população: o acervo do arquivo público estadual do Ceará"
"https://rebep.org.br/revista/issue/view/10" "v. 6 n. 1 (1989)" "Luiz Antonio de Castro Santos" "105-110" "Notas de pesquisa" "A fundação Rockefeller e o estado nacional (história e política de uma missão médica e sanitária no Brasil)"
"https://rebep.org.br/revista/issue/view/11" "v. 6 n. 2 (1989)" "Elza Berquó" "1-16" "Artigos originais" "A família no século XXI: um enfoque demográfico"
"https://rebep.org.br/revista/issue/view/11" "v. 6 n. 2 (1989)" "Herbert S. Klein" "17-37" "Artigos originais" "A integração social e econômica dos imigrantes portugueses no Brasil no fim do século XIX e no século XX"
"https://rebep.org.br/revista/issue/view/11" "v. 6 n. 2 (1989)" "Diana Oya Sawyer, Francisco Martin Castilla" "39-61" "Artigos originais" "Dados, medidas e técnicas indiretas de estimação de mortalidade"
"https://rebep.org.br/revista/issue/view/11" "v. 6 n. 2 (1989)" "Kaizô Iwakami Beltrão, Hélio dos Santos Migon" "63-94" "Artigos originais" "Migrações anuais rural-urbano-rural período 70/80"
"https://rebep.org.br/revista/issue/view/11" "v. 6 n. 2 (1989)" "Rosana Catelli" "97-102" "Resenha" "La famille incertaine"
"https://rebep.org.br/revista/issue/view/11" "v. 6 n. 2 (1989)" "Iraci del Nero da Costa" "103-105" "Resenha" "Homens esquecidos: escravos e trabalhadores livres no Brasil - séculos XVIII e XIX"
"https://rebep.org.br/revista/issue/view/11" "v. 6 n. 2 (1989)" "Rolando Lazarte" "109-111" "Notas de pesquisa" "Migrantes em busca de uma teoria"
"https://rebep.org.br/revista/issue/view/11" "v. 6 n. 2 (1989)" "Anita Kon" "113-116" "Notas de pesquisa" "A estrutura ocupacional brasileira em um ano de crise: uma abordagem inter-regional"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Suzana Pasternak Taschner" "3-34" "Artigos originais" "Habitação e demografia intra-urbana em São Paulo"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Klaas Woortmann" "35-53" "Artigos originais" "Migração, família e campesito"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Luis Patrício Ortiz" "54-73" "Artigos originais" "As condições de saúde de mães e crianças do Ceará"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Mario F. G. Monteiro" "74-86" "Artigos originais" "O efeito da educação materna sobre o risco da mortalidade infantil"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Alexandre Kalache" "95-98" "Resenha" "O Idoso na grande São Paulo"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Elisabete Dória Bilac" "99-103" "Resenha" "História do casamento e do Amor. Inglaterra, 1300-1840"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Elza Berquó" "87-94" "Ponto de Vista" "Uma nova onda para atropelar os direitos reprodutivos"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Ceci Vilar Noronha, Greice Maria de Souza Menezes, Sebastião Loureiro, Maria Ines Costa Dourado" "104-107" "Notas de pesquisa" "A concepção controlada: práticas anticoncetivas em uma área do Recôncavo Baiano"
"https://rebep.org.br/revista/issue/view/12" "v. 7 n. 1 (1990)" "Cecília Rabell" "108-124" "Notas de pesquisa" "A história da população na América Latina: Congresso de Ouro Preto"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Leticia B. Costa" "125-161" "Artigos originais" "A força de trabalho paulista: análise crítica das fontes"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Jorge Jatobá" "162-179" "Artigos originais" "Oferta de trabalho e flutuações econômicas: Brasil, 1979-1986"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "José Alberto Magno de Carvalho" "180-183" "Artigos originais" "Avaliação da política de produção, processamento e divulgação de informações no Brasil"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Isaac Kerstenetzky" "184-190" "Artigos originais" "\"\" QUO VADIS\"\" sistema estatístico?"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "André Cézar Médici" "191-206" "Artigos originais" "Sistema estatístico, planejamento e sociedade no Brasil (notas para uma discussão)"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Ana Amélia Camarano" "207-218" "Artigos originais" "Informações demográficas: o que se tem, o que se usa e como se usa?"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Alfonso Rodrigues Árias, Sônia Helena Taveira de Camargo Cordeiro" "219-235" "Artigos originais" "Uma discussão sobre a produção e uso dos dados sobre o mercado de trabalho"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Morvan de Mello Moreira" "240-242" "Resenha" "O planejamento familiar e o Nordeste"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Carmen Arretx, Jorge L. Somoza" "236-239" "Ponto de Vista" "Jean Bougeois - Pichat"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Ana Maria Lugão Rios" "243-247" "Notas de pesquisa" "Família e transição. Famílias negras em Paraíba do Sul, 1872-1920"
"https://rebep.org.br/revista/issue/view/13" "v. 7 n. 2 (1990)" "Rebeca de Souza e Silva" "248-251" "Notas de pesquisa" "Uma alternativa metodológica para captação de quesitos estigmatizantes"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Maria Stella Ferreira Levy" "3-19" "Artigos originais" "A imigração internacional e a fecundidade"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Teresa Sales" "21-32" "Artigos originais" "Novos fluxos migratórios da população brasileira"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "John M. Sydenstricker, Haroldo G. Torres" "33-54" "Artigos originais" "Mobilidade de migrantes: autonomia ou subordinação na Amazônia legal?"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Elza Berquó" "55-60" "Artigos originais" "Algumas questões para a demografia dos anos noventa"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Daniel Joseph Hogan" "61-71" "Artigos originais" "Crescimento demográfico e meio ambiente"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Luiz Armando de Medeiros Frias, Juarez de Castro Oliveira" "72-111" "Artigos originais" "Níveis, tendências e diferenciais de fecundidade no Brasil a partir da década de 30"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Paulo Roberto Curi" "112-124" "Artigos originais" "Agrupamento de países segundo indicadores básicos e econômicos"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "George Martine" "125-129" "Ponto de Vista" "Os estudos populacionais e a agenda ambiental brasileira: um ponto de vista"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Maria Cristina Bruschini" "130-133" "Resenha" "Refúgio num mundo sem coração. A família: santuário ou instituição sitiada?"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Ellen E. Hardy, Juan Díaz, Teresinha M. Moraes" "134-136" "Notas de pesquisa" "Extensão do intervalo intergestacional e retorno da menstruação: influência do aleitamento materno"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Lúcia Mayumi Yazaki" "137-141" "Notas de pesquisa" "Perspectivas atuais do papel da família frente ao envelhecimento populacional: um estudo de caso"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Sonia Regina Perillo" "142-144" "Notas de pesquisa" "Nova área de atração populacional no Oeste Paulista: a região de governo de São José do Rio Preto"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Leila da Costa Ferreira" "145-147" "Notas de pesquisa" "Estado e Ecologia: novos dilemas e desafios (A política ambiental no estado de São Paulo)"
"https://rebep.org.br/revista/issue/view/14" "v. 8 n. 1/2 (1991)" "Lúcia Mayumi Yazaki" "148-171" "Registros de interesse" "Seminário sobre transição da fecundidade na América Latina (Buenos Aires, Argentina, 3-6 abril, 1990)"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "Martim O. Smolka" "3-21" "Artigos originais" "Expulsando os pobres e redistribuindo os ricos: \"\" dinâmica imobiliária\"\" e segregação residencial na cidade do Rio de Janeiro"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "José Alberto Magno de Carvalho, Cláudio Caetano Machado" "22-34" "Artigos originais" "Quesitos sobre migrações no Censo Demográfico de 1991"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "Bela Feldman-Bianco" "35-49" "Artigos originais" "Saudade, imigração e a construção de uma nação (portuguesa) desterritorializada"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "Teresa Sales" "50-64" "Artigos originais" "Imigrantes estrangeiros, imigrantes brasileiros: uma revisão bibliográfica e algumas anotações para pesquisa"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "Franklin Goza" "65-82" "Artigos originais" "A imigração brasileira na América do Norte"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "Carlos Eugenio de Carvalho Ferreira" "87-89" "Resenha" "Morte materna: uma tragédia evitável"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "Haroldo da Gama Torres" "90-94" "Resenha" "Dilemas socioambientais do desenvolvimento sustentável"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "Claudio Salm" "83-86" "Ponto de Vista" "Mercado de trabalho brasileiro: uma visão prospectiva"
"https://rebep.org.br/revista/issue/view/15" "v. 9 n. 1 (1992)" "Márcia Milena Piraccini Duchiade" "95-96" "Notas de pesquisa" "Mortalidade infantil por pneumonias na região metropolitana do Rio de Janeiro: 1976-1986"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Martim O. Smolka" "97-114" "Artigos originais" "Mobilidade intra-urbana no Rio de Janeiro: da estratificação social à segregação residencial no espaço"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Milena Piracchini Duchlade, Kaizô Iwakami Beltrão" "115-137" "Artigos originais" "Mortalidade infantil por causas na Região Metropolitana do Rio de Janeiro, 1976-1986: associação com variáveis socioeconômicas, climáticas e ligadas à poluição do ar"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Nadya Araujo Castro, Vanda Sampaio de Sá Barreto" "138-154" "Artigos originais" "Os negros que dão certo: mercado de trabalho, mobilidade e desigualdades ocupacionais"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Elza Berquó, Maria Coleta F. A. de Oliveira" "155-167" "Artigos originais" "Casamento em tempos de crise"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Margaret E. Greene, Vijayendra Rao" "168-183" "Artigos originais" "A compressão do mercado matrimonial e o aumento das uniões consensuais no Brasil"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Donald Sawyer" "189-192" "Resenha" "Contested frontiers in Amazonia"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Maria Coleta F. A. de Oliveira" "184-188" "Ponto de Vista" "Às mulheres, os hormônios!"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Luiz Armando de Medeiros Frias, José Alberto Magno de Carvalho" "193-199" "Notas de pesquisa" "Uma avaliação da fecundidade no Brasil, ao início do século"
"https://rebep.org.br/revista/issue/view/16" "v. 9 n. 2 (1992)" "Rosa Ester Rossini" "200-204" "Notas de pesquisa" "À procura das origens ou a expectativa do enriquecimento rápido: o exemplo dos dekasseguis do Brasil em direção ao Japão"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Sonia Correa" "3-12" "Artigos originais" "PAISM: uma história sem fim"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Maria Luiza Heilborn" "13-24" "Artigos originais" "Vivendo a dois: arranjos conjugais em comparação"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Ignez Helena Oliva Perpétuo, Simone Wajnman" "25-39" "Artigos originais" "A esterilização feminina no Brasil: diferenciais por escolaridade e renda"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Rebeca de Souza e Silva" "41-56" "Artigos originais" "O uso da técnica de resposta ao Azar (TRA) na caracterização do aborto ilegal"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Suzanne Serruya" "57-70" "Artigos originais" "Ligação de trompas e imaginário feminino"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Neuza Maria de Oliveira" "71-88" "Artigos originais" "Rainha das águas, dona do mangue: um estudo do trabalho feminino no meio ambiente marinho"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Magda de Almeida Neves" "89-98" "Artigos originais" "Relações de gênero nos espaços público e privado: a experiência das trabalhadoras na CUT"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Sonia Rocha" "99-106" "Artigos originais" "Renda e pobreza no Brasil"
"https://rebep.org.br/revista/issue/view/17" "v. 10 n. 1/2 (1993)" "Suzana Marta Cavenaghi, Ana Maria Goldani" "107-124" "Artigos originais" "Fecundidade e família: os tamanhos das famílias das mulheres e das crianças no Brasil"
