,autor,edicao,link,paginas,tipo_trabalho,titulo
54,"
			Ivonete Batista Xavier
		","
									v. 4 n. 2 (1987)
							",https://rebep.org.br/revista/issue/view/7,"
				121-123
			","
					Resumo de Pesquisas Concluídas
				","
			Desemprego, papéis sexuais e fecundidade
					"
55,"
			Cesar G. Victora, J. Patrick Vaughan
		","
									v. 4 n. 2 (1987)
							",https://rebep.org.br/revista/issue/view/7,"
				127-151
			","
					Prêmio
				","
			Propriedade da terra e saúde infantil no Rio Grande do Sul: as relações entre produção agrícola, desnutrição e mortalidade
					"
56,"
			Denise Maldi Meireles
		","
									v. 5 n. 1 (1988)
							",https://rebep.org.br/revista/issue/view/8,"
				1-20
			","
					Artigos originais
				","
			Sugestões para uma análise comparativa da fecundidade em populações indígenas
					"
57,"
			Ellen F. Woortmann
		",,,"
				21-35
			",,"
			Keim e parentesco: reflexões sobre uma categoria cultural de colonos teuto-brasileiros
					"
58,"
			George Martine, Alfonso R. Arias
		",,,"
				37-70
			",,"
			A evolução do emprego no campo - 2ª parte
					"
59,"
			José Flávio Motta
		",,,"
				71-101
			",,"
			A família escrava e a penetração do café em Bananal, 1801-1829
					"
60,"
			Tania Dauster
		",,,"
				103-125
			",,"
			Código familiar: uma versão sobre o significado da família em camadas médias urbanas
					"
61,"
			Carlos Eugenio de C. Ferreira
		","
									v. 5 n. 1 (1988)
							",https://rebep.org.br/revista/issue/view/8,"
				129-132
			","
					Resenha
				","
			Medidas e análise da mortalidade: novas abordagens
					"
62,"
			Laura Rodriguez Wong
		","
									v. 5 n. 1 (1988)
							",https://rebep.org.br/revista/issue/view/8,"
				135-139
			","
					Resumo de Pesquisas Concluídas
				","
			O jovem na grande São Paulo
					"
63,"
			Cláudio Caetano Machado, Raph Hakkert
		","
									v. 5 n. 2 (1988)
							",https://rebep.org.br/revista/issue/view/9,"
				1-20
			","
					Artigos originais
				","
			Uma análise exploratória da informação sobre a migração inter e intramunicipal no censo demográfico de 1980
					"
64,"
			Maria Isabel Baltar da Rocha
		",,,"
				21-33
			",,"
			População, reprodução e saúde: anotações sobre a questão de uma política social
					"
65,"
			Neide L. Patarra, Rosana Baeninger
		",,,"
				35-61
			",,"
			Família na transição demográfica: o caso de São Paulo
					"
66,"
			Sérgio Odilon Nadalin
		",,,"
				63-91
			",,"
			Sexualidade, casamento e reprodução
					"
67,"
			Altiva Pilatti Balhana
		","
									v. 5 n. 2 (1988)
							",https://rebep.org.br/revista/issue/view/9,"
				95-98
			","
					Resenha
				","
			Naissance d´une population
					"
68,"
			Mary Garcia Castro
		",,,"
				99-102
			",,"
			Muchachas no more: household workers in Latin America and the Caribbean
					"
69,"
			Cristina Bruschini
		","
									v. 6 n. 1 (1989)
							",https://rebep.org.br/revista/issue/view/10,"
				1-23
			","
					Artigos originais
				","
			Uma abordagem sociológica de família
					"
70,"
			Maria Coleta F. A. Oliveira
		",,,"
				25-33
			",,"
			Trabalho, família e condição feminina: considerações sobre a demanda por filhos
					"
71,"
			Carmen Barroso
		",,,"
				35-60
			",,"
			As pesquisas sobre o aborto na América Latina e os estudos de mulher
					"
72,"
			Alicia M. Bercovich
		",,,"
				61-87
			",,"
			Considerações sobre a fecundidade da população negra no Brasil
					"
73,"
			Paulo Paiva
		","
									v. 6 n. 1 (1989)
							",https://rebep.org.br/revista/issue/view/10,"
				91-93
			","
					Resenha
				","
			Demos, carta demográfica sobre o México, 1988
					"
74,"
			Hélio Moura
		",,,"
				95-97
			",,"
			Princípios e métodos de análise da demografia portuguesa
					"
75,"
			Eni de Mesquita Samara, Maria Silvia C. Beozzo Bassanezi, Nelson Hideiki Nozoe
		","
									v. 6 n. 1 (1989)
							",https://rebep.org.br/revista/issue/view/10,"
				101-103
			","
					Notas de pesquisa
				","
			Estatísticas históricas para estudos de população: o acervo do arquivo público estadual do Ceará
					"
76,"
			Luiz Antonio de Castro Santos
		",,,"
				105-110
			",,"
			A fundação Rockefeller e o estado nacional (história e política de uma missão médica e sanitária no Brasil)
					"
77,"
			Elza Berquó
		","
									v. 6 n. 2 (1989)
							",https://rebep.org.br/revista/issue/view/11,"
				1-16
			","
					Artigos originais
				","
			A família no século XXI: um enfoque demográfico
					"
78,"
			Herbert S. Klein
		",,,"
				17-37
			",,"
			A integração social e econômica dos imigrantes portugueses no Brasil no fim do século XIX e no século XX
					"
79,"
			Diana Oya Sawyer, Francisco Martin Castilla
		",,,"
				39-61
			",,"
			Dados, medidas e técnicas indiretas de estimação de mortalidade
					"
80,"
			Kaizô Iwakami Beltrão, Hélio dos Santos Migon
		",,,"
				63-94
			",,"
			Migrações anuais rural-urbano-rural período 70/80
					"
81,"
			Rosana Catelli
		","
									v. 6 n. 2 (1989)
							",https://rebep.org.br/revista/issue/view/11,"
				97-102
			","
					Resenha
				","
			La famille incertaine
					"
82,"
			Iraci del Nero da Costa
		",,,"
				103-105
			",,"
			Homens esquecidos: escravos e trabalhadores livres no Brasil - séculos XVIII e XIX
					"
83,"
			Rolando Lazarte
		","
									v. 6 n. 2 (1989)
							",https://rebep.org.br/revista/issue/view/11,"
				109-111
			","
					Notas de pesquisa
				","
			Migrantes em busca de uma teoria
					"
84,"
			Anita Kon
		",,,"
				113-116
			",,"
			A estrutura ocupacional brasileira em um ano de crise: uma abordagem inter-regional
					"
85,"
			Suzana Pasternak Taschner
		","
									v. 7 n. 1 (1990)
							",https://rebep.org.br/revista/issue/view/12,"
				3-34
			","
					Artigos originais
				","
			Habitação e demografia intra-urbana em São Paulo
					"
86,"
			Klaas Woortmann
		",,,"
				35-53
			",,"
			Migração, família e campesito
					"
87,"
			Luis Patrício Ortiz
		",,,"
				54-73
			",,"
			As condições de saúde de mães e crianças do Ceará
					"
88,"
			Mario F. G. Monteiro
		",,,"
				74-86
			",,"
			O efeito da educação materna sobre o risco da mortalidade infantil
					"
89,"
			Alexandre Kalache
		","
									v. 7 n. 1 (1990)
							",https://rebep.org.br/revista/issue/view/12,"
				95-98
			","
					Resenha
				","
			O Idoso na grande São Paulo
					"
90,"
			Elisabete Dória Bilac
		",,,"
				99-103
			",,"
			História do casamento e do Amor. Inglaterra, 1300-1840
					"
91,"
			Elza Berquó
		","
									v. 7 n. 1 (1990)
							",https://rebep.org.br/revista/issue/view/12,"
				87-94
			","
					Ponto de Vista
				","
			Uma nova onda para atropelar os direitos reprodutivos
					"
92,"
			Ceci Vilar Noronha, Greice Maria de Souza Menezes, Sebastião Loureiro, Maria Ines Costa Dourado
		","
									v. 7 n. 1 (1990)
							",https://rebep.org.br/revista/issue/view/12,"
				104-107
			","
					Notas de pesquisa
				","
			A concepção controlada: práticas anticoncetivas em uma área do Recôncavo Baiano
					"
93,"
			Cecília Rabell
		",,,"
				108-124
			",,"
			A história da população na América Latina: Congresso de Ouro Preto
					"
94,"
			Leticia B. Costa
		","
									v. 7 n. 2 (1990)
							",https://rebep.org.br/revista/issue/view/13,"
				125-161
			","
					Artigos originais
				","
			A força de trabalho paulista: análise crítica das fontes
					"
95,"
			Jorge Jatobá
		",,,"
				162-179
			",,"
			Oferta de trabalho e flutuações econômicas: Brasil, 1979-1986
					"
96,"
			José Alberto Magno de Carvalho
		",,,"
				180-183
			",,"
			Avaliação da política de produção, processamento e divulgação de informações no Brasil
					"
97,"
			Isaac Kerstenetzky
		",,,"
				184-190
			",,"
			"" QUO VADIS"" sistema estatístico?
					"
98,"
			André Cézar Médici
		",,,"
				191-206
			",,"
			Sistema estatístico, planejamento e sociedade no Brasil (notas para uma discussão)
					"
99,"
			Ana Amélia Camarano
		",,,"
				207-218
			",,"
			Informações demográficas: o que se tem, o que se usa e como se usa?
					"
100,"
			Alfonso Rodrigues Árias, Sônia Helena Taveira de Camargo Cordeiro
		",,,"
				219-235
			",,"
			Uma discussão sobre a produção e uso dos dados sobre o mercado de trabalho
					"
101,"
			Morvan de Mello Moreira
		","
									v. 7 n. 2 (1990)
							",https://rebep.org.br/revista/issue/view/13,"
				240-242
			","
					Resenha
				","
			O planejamento familiar e o Nordeste
					"
102,"
			Carmen Arretx, Jorge L. Somoza
		","
									v. 7 n. 2 (1990)
							",https://rebep.org.br/revista/issue/view/13,"
				236-239
			","
					Ponto de Vista
				","
			Jean Bougeois - Pichat
					"
103,"
			Ana Maria Lugão Rios
		","
									v. 7 n. 2 (1990)
							",https://rebep.org.br/revista/issue/view/13,"
				243-247
			","
					Notas de pesquisa
				","
			Família e transição. Famílias negras em Paraíba do Sul, 1872-1920
					"
104,"
			Rebeca de Souza e Silva
		",,,"
				248-251
			",,"
			Uma alternativa metodológica para captação de quesitos estigmatizantes
					"
105,"
			Maria Stella Ferreira Levy
		","
									v. 8 n. 1/2 (1991)
							",https://rebep.org.br/revista/issue/view/14,"
				3-19
			","
					Artigos originais
				","
			A imigração internacional e a fecundidade
					"
106,"
			Teresa Sales
		",,,"
				21-32
			",,"
			Novos fluxos migratórios da população brasileira
					"
107,"
			John M. Sydenstricker, Haroldo G. Torres
		",,,"
				33-54
			",,"
			Mobilidade de migrantes: autonomia ou subordinação na Amazônia legal?
					"
108,"
			Elza Berquó
		",,,"
				55-60
			",,"
			Algumas questões para a demografia dos anos noventa
					"
109,"
			Daniel Joseph Hogan
		",,,"
				61-71
			",,"
			Crescimento demográfico e meio ambiente
					"
110,"
			Luiz Armando de Medeiros Frias, Juarez de Castro Oliveira
		",,,"
				72-111
			",,"
			Níveis, tendências e diferenciais de fecundidade no Brasil a partir da década de 30
					"
111,"
			Paulo Roberto Curi
		",,,"
				112-124
			",,"
			Agrupamento de países segundo indicadores básicos e econômicos
					"
112,"
			George Martine
		","
									v. 8 n. 1/2 (1991)
							",https://rebep.org.br/revista/issue/view/14,"
				125-129
			","
					Ponto de Vista
				","
			Os estudos populacionais e a agenda ambiental brasileira: um ponto de vista
					"
113,"
			Maria Cristina Bruschini
		","
									v. 8 n. 1/2 (1991)
							",https://rebep.org.br/revista/issue/view/14,"
				130-133
			","
					Resenha
				","
			Refúgio num mundo sem coração. A família: santuário ou instituição sitiada?
					"
114,"
			Ellen E. Hardy, Juan Díaz, Teresinha M. Moraes
		","
									v. 8 n. 1/2 (1991)
							",https://rebep.org.br/revista/issue/view/14,"
				134-136
			","
					Notas de pesquisa
				","
			Extensão do intervalo intergestacional e retorno da menstruação: influência do aleitamento materno
					"
115,"
			Lúcia Mayumi Yazaki
		",,,"
				137-141
			",,"
			Perspectivas atuais do papel da família frente ao envelhecimento populacional: um estudo de caso
					"
116,"
			Sonia Regina Perillo
		",,,"
				142-144
			",,"
			Nova área de atração populacional no Oeste Paulista: a região de governo de São José do Rio Preto
					"
117,"
			Leila da Costa Ferreira
		",,,"
				145-147
			",,"
			Estado e Ecologia: novos dilemas e desafios (A política ambiental no estado de São Paulo)
					"
118,"
			Lúcia Mayumi Yazaki
		","
									v. 8 n. 1/2 (1991)
							",https://rebep.org.br/revista/issue/view/14,"
				148-171
			","
					Registros de interesse
				","
			Seminário sobre transição da fecundidade na América Latina (Buenos Aires, Argentina, 3-6 abril, 1990)
					"
119,"
			Martim O. Smolka
		","
									v. 9 n. 1 (1992)
							",https://rebep.org.br/revista/issue/view/15,"
				3-21
			","
					Artigos originais
				","
			Expulsando os pobres e redistribuindo os ricos: "" dinâmica imobiliária"" e segregação residencial na cidade do Rio de Janeiro
					"
120,"
			José Alberto Magno de Carvalho, Cláudio Caetano Machado
		",,,"
				22-34
			",,"
			Quesitos sobre migrações no Censo Demográfico de 1991
					"
121,"
			Bela Feldman-Bianco
		",,,"
				35-49
			",,"
			Saudade, imigração e a construção de uma nação (portuguesa) desterritorializada
					"
122,"
			Teresa Sales
		",,,"
				50-64
			",,"
			Imigrantes estrangeiros, imigrantes brasileiros: uma revisão bibliográfica e algumas anotações para pesquisa
					"
123,"
			Franklin Goza
		",,,"
				65-82
			",,"
			A imigração brasileira na América do Norte
					"
124,"
			Carlos Eugenio de Carvalho Ferreira
		","
									v. 9 n. 1 (1992)
							",https://rebep.org.br/revista/issue/view/15,"
				87-89
			","
					Resenha
				","
			Morte materna: uma tragédia evitável
					"
125,"
			Haroldo da Gama Torres
		",,,"
				90-94
			",,"
			Dilemas socioambientais do desenvolvimento sustentável
					"
126,"
			Claudio Salm
		","
									v. 9 n. 1 (1992)
							",https://rebep.org.br/revista/issue/view/15,"
				83-86
			","
					Ponto de Vista
				","
			Mercado de trabalho brasileiro: uma visão prospectiva
					"
127,"
			Márcia Milena Piraccini Duchiade
		","
									v. 9 n. 1 (1992)
							",https://rebep.org.br/revista/issue/view/15,"
				95-96
			","
					Notas de pesquisa
				","
			Mortalidade infantil por pneumonias na região metropolitana do Rio de Janeiro: 1976-1986
					"
128,"
			Martim O. Smolka
		","
									v. 9 n. 2 (1992)
							",https://rebep.org.br/revista/issue/view/16,"
				97-114
			","
					Artigos originais
				","
			Mobilidade intra-urbana no Rio de Janeiro: da estratificação social à segregação residencial no espaço
					"
129,"
			Milena Piracchini Duchlade, Kaizô Iwakami Beltrão
		",,,"
				115-137
			",,"
			Mortalidade infantil por causas na Região Metropolitana do Rio de Janeiro, 1976-1986: associação com variáveis socioeconômicas, climáticas e ligadas à poluição do ar
					"
130,"
			Nadya Araujo Castro, Vanda Sampaio de Sá Barreto
		",,,"
				138-154
			",,"
			Os negros que dão certo: mercado de trabalho, mobilidade e desigualdades ocupacionais
					"
131,"
			Elza Berquó, Maria Coleta F. A. de Oliveira
		",,,"
				155-167
			",,"
			Casamento em tempos de crise
					"
132,"
			Margaret E. Greene, Vijayendra Rao
		",,,"
				168-183
			",,"
			A compressão do mercado matrimonial e o aumento das uniões consensuais no Brasil
					"
133,"
			Donald Sawyer
		","
									v. 9 n. 2 (1992)
							",https://rebep.org.br/revista/issue/view/16,"
				189-192
			","
					Resenha
				","
			Contested frontiers in Amazonia
					"
134,"
			Maria Coleta F. A. de Oliveira
		","
									v. 9 n. 2 (1992)
							",https://rebep.org.br/revista/issue/view/16,"
				184-188
			","
					Ponto de Vista
				","
			Às mulheres, os hormônios!
					"
135,"
			Luiz Armando de Medeiros Frias, José Alberto Magno de Carvalho
		","
									v. 9 n. 2 (1992)
							",https://rebep.org.br/revista/issue/view/16,"
				193-199
			","
					Notas de pesquisa
				","
			Uma avaliação da fecundidade no Brasil, ao início do século
					"
136,"
			Rosa Ester Rossini
		",,,"
				200-204
			",,"
			À procura das origens ou a expectativa do enriquecimento rápido: o exemplo dos dekasseguis do Brasil em direção ao Japão
					"
137,"
			Sonia Correa
		","
									v. 10 n. 1/2 (1993)
							",https://rebep.org.br/revista/issue/view/17,"
				3-12
			","
					Artigos originais
				","
			PAISM: uma história sem fim
					"
138,"
			Maria Luiza Heilborn
		",,,"
				13-24
			",,"
			Vivendo a dois: arranjos conjugais em comparação
					"
139,"
			Ignez Helena Oliva Perpétuo, Simone Wajnman
		",,,"
				25-39
			",,"
			A esterilização feminina no Brasil: diferenciais por escolaridade e renda
					"
140,"
			Rebeca de Souza e Silva
		",,,"
				41-56
			",,"
			O uso da técnica de resposta ao Azar (TRA) na caracterização do aborto ilegal
					"
141,"
			Suzanne Serruya
		",,,"
				57-70
			",,"
			Ligação de trompas e imaginário feminino
					"
142,"
			Neuza Maria de Oliveira
		",,,"
				71-88
			",,"
			Rainha das águas, dona do mangue: um estudo do trabalho feminino no meio ambiente marinho
					"
143,"
			Magda de Almeida Neves
		",,,"
				89-98
			",,"
			Relações de gênero nos espaços público e privado: a experiência das trabalhadoras na CUT
					"
144,"
			Sonia Rocha
		",,,"
				99-106
			",,"
			Renda e pobreza no Brasil
					"
145,"
			Suzana Marta Cavenaghi, Ana Maria Goldani
		",,,"
				107-124
			",,"
			Fecundidade e família: os tamanhos das famílias das mulheres e das crianças no Brasil
					"
146,"
			Alicia Marta Bercovich
		",,,"
				125-143
			",,"
			Características regionais da população idosa no Brasil
					"
147,"
			Rodolpho Telarolli Junior
		",,,"
				145-156
			",,"
			Secularização do registro dos eventos vitais no Estado de São Paulo
					"
148,"
			Mariza Corrêa  e equipe
		","
									v. 10 n. 1/2 (1993)
							",https://rebep.org.br/revista/issue/view/17,"
				157-159
			","
					Notas de pesquisa
				","
			Histórias femininas: memórias e experiências
					"
149,"
			José Marcos Pinto da Cunha
		",,,"
				161-170
			",,"
			Mobilidade intrametropolitana: questões metodológicas para o seu estudo
					"
150,"
			Eva Blay
		","
									v. 10 n. 1/2 (1993)
							",https://rebep.org.br/revista/issue/view/17,"
				171-174
			","
					Ponto de Vista
				","
			A questão do aborto - um projeto de lei para disciplinar sua prática no Brasil
					"
151,"
			Charles H. Wood, José Alberto Magno de Carvalho
		","
									v. 11 n. 1 (1994)
							",https://rebep.org.br/revista/issue/view/18,"
				3-17
			","
					Artigos originais
				","
			Categorias do censo e classificação subjetiva de cor no Brasil
					"
152,"
			Elza Berquó
		",,,"
				19-26
			",,"
			Esterilização e raça em São Paulo
					"
153,"
			Neide Patarra
		",,,"
				27-40
			",,"
			Transição demográfica: novas evidências, velhos desafios
					"
154,"
			George Martine
		",,,"
				41-60
			",,"
			Estado, economia e mobilidade geográfica: retrospectiva e perspectivas para o fim do século
					"
155,"
			Maria Luiza Andreazza, Sérgio Odilon Nadalin
		",,,"
				61-87
			",,"
			O cenário da colonização no Brasil Meridional e a família imigrante
					"
156,"
			Maria Coleta de Oliveira, Elizabete D. Bilac, Malvina Muszkat
		","
									v. 11 n. 1 (1994)
							",https://rebep.org.br/revista/issue/view/18,"
				89-93
			","
					Notas de pesquisa
				","
			Os homens, esses desconhecidos...
					"
157,"
			Haroldo Torres, John Sydenstricker-Neto
		",,,"
				95-99
			",,"
			Disseminação de informação populacional para públicos mais abrangentes
					"
158,"
			Bela Feldman-Bianco
		",,,"
				101-103
			",,"
			Antigos imaginários, transnacionalidade e a nova política de espaços
					"
159,"
			Teresa Sales
		","
									v. 11 n. 1 (1994)
							",https://rebep.org.br/revista/issue/view/18,"
				105-107
			","
					Resenha
				","
			The mobility of labor and capital
					"
160,"
			Elza Berquó
		","
									v. 11 n. 1 (1994)
							",https://rebep.org.br/revista/issue/view/18,"
				109-111
			","
					Ponto de Vista
				","
			Cairo: o sucesso da arte do diálogo
					"
161,"
			Laura L. Rodríguez Wong
		","
									v. 11 n. 2 (1994)
							",https://rebep.org.br/revista/issue/view/19,"
				115-138
			","
					Artigos originais
				","
			Um modelo para estimar a mortalidade materna:  a relação entre a razão de mortalidade materna e outros parâmentros demográficos
					"
162,"
			Jorge Pozzobon
		",,,"
				139-154
			",,"
			O mínimo demográfico de um sistema de metades exogâmicas (uma simulação em computador)
					"
163,"
			Elisabete Dória Bilac
		",,,"
				155-158
			",,"
			Trabalho e reprodução cotidiana: apresentação
					"
164,"
			Vania Salles
		",,,"
				159-170
			",,"
			Novos olhares sobre a família
					"
165,"
			Iracema Brandão Guimarães
		",,,"
				171-186
			",,"
			As articulações possíveis: família e reprodução em um segmento operário
					"
166,"
			Vera da Silva Telles
		",,,"
				187-223
			",,"
			Família e trabalho: precariedade e pauperismo na Grande São Paulo
					"
